timestamp,hospital,avg_wait_time,patients_waiting,doctors_available,bed_occupancy,inventory_days
2026-01-01 00:00,City General Hospital,69.96,89,4,82.91,7.41
2026-01-01 00:00,Metro Care Center,71.4,77,4,83.65,6.81
2026-01-01 00:00,GreenLife Hospital,69.83,76,4,82.22,7.0
2026-01-01 00:00,Sunrise Medical,65.81,74,4,83.03,6.73
2026-01-01 00:00,Apollo Urban,70.39,84,4,83.75,7.28
2026-01-01 00:00,St. Mary’s Hospital,63.36,86,4,83.77,7.0
2026-01-01 00:00,Hope Multispeciality,63.48,77,4,80.91,6.75
2026-01-01 00:00,Unity Health Center,67.34,81,4,82.61,7.1
2026-01-01 00:05,City General Hospital,69.03,88,4,81.65,7.12
2026-01-01 00:05,Metro Care Center,72.69,91,4,82.39,6.74
2026-01-01 00:05,GreenLife Hospital,71.77,91,4,83.65,7.5
2026-01-01 00:05,Sunrise Medical,65.96,84,4,81.62,7.14
2026-01-01 00:05,Apollo Urban,65.72,91,4,80.4,7.5
2026-01-01 00:05,St. Mary’s Hospital,71.14,83,4,81.33,7.41
2026-01-01 00:05,Hope Multispeciality,68.23,77,4,81.68,6.82
2026-01-01 00:05,Unity Health Center,71.24,87,4,83.84,7.37
2026-01-01 00:10,City General Hospital,68.85,78,4,82.89,7.5
2026-01-01 00:10,Metro Care Center,75.01,95,4,82.27,7.25
2026-01-01 00:10,GreenLife Hospital,70.57,80,4,84.59,7.47
2026-01-01 00:10,Sunrise Medical,68.56,82,4,81.48,7.18
2026-01-01 00:10,Apollo Urban,73.67,95,4,80.91,7.5
2026-01-01 00:10,St. Mary’s Hospital,69.74,90,4,83.68,6.92
2026-01-01 00:10,Hope Multispeciality,73.32,84,4,83.71,7.17
2026-01-01 00:10,Unity Health Center,72.33,89,4,84.23,7.5
2026-01-01 00:15,City General Hospital,69.54,88,4,84.82,7.0
2026-01-01 00:15,Metro Care Center,72.64,84,4,81.63,7.01
2026-01-01 00:15,GreenLife Hospital,76.25,79,4,82.93,7.35
2026-01-01 00:15,Sunrise Medical,74.41,79,4,81.61,7.08
2026-01-01 00:15,Apollo Urban,68.08,93,4,84.2,6.75
2026-01-01 00:15,St. Mary’s Hospital,74.06,86,4,81.51,7.2
2026-01-01 00:15,Hope Multispeciality,69.11,80,4,83.54,6.63
2026-01-01 00:15,Unity Health Center,68.8,95,4,83.0,7.25
2026-01-01 00:20,City General Hospital,67.65,92,4,83.08,7.19
2026-01-01 00:20,Metro Care Center,74.92,95,4,83.9,6.94
2026-01-01 00:20,GreenLife Hospital,71.81,86,4,83.19,6.83
2026-01-01 00:20,Sunrise Medical,71.02,91,4,82.57,6.96
2026-01-01 00:20,Apollo Urban,70.4,85,4,82.86,7.5
2026-01-01 00:20,St. Mary’s Hospital,75.71,89,4,82.0,7.41
2026-01-01 00:20,Hope Multispeciality,76.35,97,4,81.9,7.45
2026-01-01 00:20,Unity Health Center,76.7,83,4,82.46,6.85
2026-01-01 00:25,City General Hospital,68.63,83,4,83.65,7.16
2026-01-01 00:25,Metro Care Center,72.61,89,4,84.64,6.58
2026-01-01 00:25,GreenLife Hospital,72.54,90,4,82.33,7.06
2026-01-01 00:25,Sunrise Medical,76.54,91,4,82.03,7.49
2026-01-01 00:25,Apollo Urban,77.19,86,4,85.07,7.34
2026-01-01 00:25,St. Mary’s Hospital,75.7,87,4,83.57,6.81
2026-01-01 00:25,Hope Multispeciality,73.79,91,4,82.16,7.37
2026-01-01 00:25,Unity Health Center,74.72,90,4,82.2,6.76
2026-01-01 00:30,City General Hospital,79.11,83,4,85.47,6.6
2026-01-01 00:30,Metro Care Center,74.1,82,4,82.04,7.47
2026-01-01 00:30,GreenLife Hospital,76.15,94,4,83.33,7.5
2026-01-01 00:30,Sunrise Medical,70.51,89,4,83.94,6.84
2026-01-01 00:30,Apollo Urban,76.11,97,4,82.45,7.17
2026-01-01 00:30,St. Mary’s Hospital,74.92,82,4,82.71,6.63
2026-01-01 00:30,Hope Multispeciality,71.29,87,4,82.7,7.29
2026-01-01 00:30,Unity Health Center,74.08,96,4,82.0,6.94
2026-01-01 00:35,City General Hospital,77.53,98,4,82.62,6.86
2026-01-01 00:35,Metro Care Center,77.96,95,4,83.03,6.69
2026-01-01 00:35,GreenLife Hospital,78.65,90,4,82.54,6.66
2026-01-01 00:35,Sunrise Medical,70.91,95,4,83.26,7.34
2026-01-01 00:35,Apollo Urban,74.38,101,4,84.58,6.7
2026-01-01 00:35,St. Mary’s Hospital,71.88,89,4,83.69,7.04
2026-01-01 00:35,Hope Multispeciality,75.93,90,4,84.1,7.07
2026-01-01 00:35,Unity Health Center,80.0,100,4,85.38,6.61
2026-01-01 00:40,City General Hospital,76.97,103,4,82.86,6.74
2026-01-01 00:40,Metro Care Center,76.65,104,4,82.67,6.58
2026-01-01 00:40,GreenLife Hospital,81.07,88,4,84.3,7.38
2026-01-01 00:40,Sunrise Medical,77.83,85,4,82.65,7.26
2026-01-01 00:40,Apollo Urban,80.76,98,4,83.49,6.92
2026-01-01 00:40,St. Mary’s Hospital,81.21,95,4,86.13,7.26
2026-01-01 00:40,Hope Multispeciality,74.67,90,4,82.78,7.4
2026-01-01 00:40,Unity Health Center,80.74,103,4,85.74,6.66
2026-01-01 00:45,City General Hospital,77.21,95,4,85.19,6.6
2026-01-01 00:45,Metro Care Center,73.2,90,4,84.18,6.78
2026-01-01 00:45,GreenLife Hospital,80.47,94,4,84.28,6.81
2026-01-01 00:45,Sunrise Medical,73.71,105,4,83.03,6.62
2026-01-01 00:45,Apollo Urban,76.67,105,4,85.28,6.88
2026-01-01 00:45,St. Mary’s Hospital,73.13,87,4,83.25,7.23
2026-01-01 00:45,Hope Multispeciality,81.45,96,4,85.08,7.08
2026-01-01 00:45,Unity Health Center,77.54,102,4,86.36,7.21
2026-01-01 00:50,City General Hospital,76.66,97,4,86.67,6.76
2026-01-01 00:50,Metro Care Center,83.82,89,4,85.01,6.7
2026-01-01 00:50,GreenLife Hospital,81.74,100,4,85.54,6.53
2026-01-01 00:50,Sunrise Medical,77.03,88,4,86.58,7.37
2026-01-01 00:50,Apollo Urban,76.62,89,4,85.44,6.99
2026-01-01 00:50,St. Mary’s Hospital,81.29,95,4,85.55,7.03
2026-01-01 00:50,Hope Multispeciality,83.76,94,4,84.13,7.5
2026-01-01 00:50,Unity Health Center,79.04,106,4,86.0,7.19
2026-01-01 00:55,City General Hospital,79.58,104,4,85.2,6.7
2026-01-01 00:55,Metro Care Center,76.36,103,4,84.85,7.19
2026-01-01 00:55,GreenLife Hospital,75.82,102,4,87.05,7.4
2026-01-01 00:55,Sunrise Medical,80.0,92,4,86.95,6.88
2026-01-01 00:55,Apollo Urban,77.56,95,4,83.83,6.87
2026-01-01 00:55,St. Mary’s Hospital,81.64,96,4,87.53,6.63
2026-01-01 00:55,Hope Multispeciality,77.81,102,4,84.77,6.65
2026-01-01 00:55,Unity Health Center,77.32,100,4,84.47,7.15
2026-01-01 01:00,City General Hospital,82.02,100,4,87.08,6.9
2026-01-01 01:00,Metro Care Center,84.72,96,4,87.59,7.44
2026-01-01 01:00,GreenLife Hospital,76.22,99,4,86.39,7.37
2026-01-01 01:00,Sunrise Medical,77.0,106,4,84.36,7.14
2026-01-01 01:00,Apollo Urban,80.8,106,4,85.24,6.77
2026-01-01 01:00,St. Mary’s Hospital,80.3,96,4,85.38,6.6
2026-01-01 01:00,Hope Multispeciality,82.95,99,4,85.6,7.37
2026-01-01 01:00,Unity Health Center,77.55,103,4,87.86,6.86
2026-01-01 01:05,City General Hospital,84.68,108,4,84.46,6.61
2026-01-01 01:05,Metro Care Center,79.75,96,4,85.85,7.21
2026-01-01 01:05,GreenLife Hospital,85.45,100,4,85.4,7.13
2026-01-01 01:05,Sunrise Medical,77.09,100,4,85.75,6.97
2026-01-01 01:05,Apollo Urban,80.88,106,4,88.03,7.45
2026-01-01 01:05,St. Mary’s Hospital,85.78,107,4,84.24,7.18
2026-01-01 01:05,Hope Multispeciality,80.26,110,4,86.83,7.44
2026-01-01 01:05,Unity Health Center,78.76,94,4,87.94,6.8
2026-01-01 01:10,City General Hospital,86.99,100,4,87.28,7.28
2026-01-01 01:10,Metro Care Center,83.41,95,4,86.54,7.13
2026-01-01 01:10,GreenLife Hospital,86.11,102,4,85.38,7.38
2026-01-01 01:10,Sunrise Medical,83.97,102,4,87.01,6.66
2026-01-01 01:10,Apollo Urban,80.96,103,4,88.04,6.64
2026-01-01 01:10,St. Mary’s Hospital,80.46,96,4,86.65,7.32
2026-01-01 01:10,Hope Multispeciality,82.71,109,4,87.52,6.98
2026-01-01 01:10,Unity Health Center,85.45,95,4,87.12,7.37
2026-01-01 01:15,City General Hospital,87.6,99,4,85.77,6.56
2026-01-01 01:15,Metro Care Center,86.28,110,4,87.39,6.52
2026-01-01 01:15,GreenLife Hospital,85.82,109,4,88.02,7.02
2026-01-01 01:15,Sunrise Medical,85.7,105,4,86.0,7.39
2026-01-01 01:15,Apollo Urban,83.55,103,4,87.06,6.94
2026-01-01 01:15,St. Mary’s Hospital,87.85,112,4,85.79,6.75
2026-01-01 01:15,Hope Multispeciality,83.52,111,4,88.26,6.95
2026-01-01 01:15,Unity Health Center,80.55,105,4,88.31,7.05
2026-01-01 01:20,City General Hospital,85.53,101,3,86.33,6.84
2026-01-01 01:20,Metro Care Center,89.83,109,3,86.34,6.82
2026-01-01 01:20,GreenLife Hospital,89.12,114,3,87.43,6.85
2026-01-01 01:20,Sunrise Medical,86.05,109,3,87.9,6.91
2026-01-01 01:20,Apollo Urban,86.91,103,3,86.07,6.43
2026-01-01 01:20,St. Mary’s Hospital,81.23,109,3,87.29,7.16
2026-01-01 01:20,Hope Multispeciality,82.72,99,3,87.25,7.26
2026-01-01 01:20,Unity Health Center,80.49,102,3,87.46,6.45
2026-01-01 01:25,City General Hospital,83.46,102,3,86.04,7.21
2026-01-01 01:25,Metro Care Center,81.65,107,3,86.04,6.54
2026-01-01 01:25,GreenLife Hospital,84.67,98,3,88.76,6.4
2026-01-01 01:25,Sunrise Medical,82.68,101,3,87.9,6.99
2026-01-01 01:25,Apollo Urban,85.53,105,3,87.52,7.08
2026-01-01 01:25,St. Mary’s Hospital,89.94,113,3,86.07,6.51
2026-01-01 01:25,Hope Multispeciality,82.21,100,3,89.02,6.7
2026-01-01 01:25,Unity Health Center,86.01,107,3,87.68,6.72
2026-01-01 01:30,City General Hospital,90.17,113,3,87.42,6.95
